author	epoche	genre	title	textPath	label	n_sent	n_tok	n_tok_no_punct	n_adja	n_nn	n_v	n_vv	n_vfin	n_vvfin	n_konj_vf	n_konj_vvf	n_acc	n_dat	n_acc_doppelt	n_dat_doppelt
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von dem Baron von Hüpfenstich	Literatur-Brentano,-Clemens/tg569.txt	not defined	587	9459	7796	272	1478	1551	1087	1168	740	17	3	127	255	96	106
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von dem Dilldapp	Literatur-Brentano,-Clemens/tg570.txt	not defined	408	6876	5621	190	1011	1033	741	801	535	13	2	98	168	74	60
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von dem Myrtenfräulein	Literatur-Brentano,-Clemens/tg566.txt	not defined	204	4688	4061	195	771	731	513	521	318	19	2	79	154	51	68
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von dem Schulmeister Klopfstock und seinen fünf Söhnen	Literatur-Brentano,-Clemens/tg572.txt	not defined	890	16847	14286	564	2496	2654	1940	1993	1317	26	6	239	527	181	200
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von dem Witzenspitzel	Literatur-Brentano,-Clemens/tg567.txt	not defined	115	3010	2608	74	510	440	317	343	230	10	1	51	78	39	22
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von den Märchen oder Liebseelchen	Literatur-Brentano,-Clemens/tg565.txt	not defined	303	6564	5618	274	1140	955	714	717	493	25	6	102	210	70	81
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Fanferlieschen Schönefüßchen	Literatur-Brentano,-Clemens/tg571.txt	not defined	1093	20899	17601	678	3045	3287	2367	2492	1638	47	4	314	635	238	255
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Gockel und Hinkel	Literatur-Brentano,-Clemens/tg573.txt	not defined	1434	31444	26581	1311	4779	4542	3243	3261	2067	86	9	449	942	307	381
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Komanditchen	Literatur-Brentano,-Clemens/tg574.txt	not defined	680	13205	11059	469	2251	2009	1394	1467	920	35	6	194	372	145	136
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Rosenblättchen	Literatur-Brentano,-Clemens/tg568.txt	not defined	176	3954	3370	145	603	605	436	454	298	11	2	66	129	45	41
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Schnürlieschen	Literatur-Brentano,-Clemens/tg575.txt	not defined	255	4953	4192	203	746	778	526	548	318	18	4	65	132	38	36
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Rheinmärchen/Das Märchen vom Murmeltier	Literatur-Brentano,-Clemens/tg562.txt	not defined	763	13817	11443	458	2013	2181	1627	1637	1124	27	10	195	394	161	140
