author	epoche	genre	title	textPath	label	n_sent	n_tok	n_tok_no_punct	n_adja	n_nn	n_acc	n_dat
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von den Märchen oder Liebseelchen	Literatur-Brentano,-Clemens/tg565.txt	not defined	303	6564	5618	274	1140	102	210
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Fanferlieschen Schönefüßchen	Literatur-Brentano,-Clemens/tg571.txt	not defined	1093	20899	17601	678	3045	314	635
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Gockel und Hinkel	Literatur-Brentano,-Clemens/tg573.txt	not defined	1434	31444	26581	1311	4779	449	942
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Komanditchen	Literatur-Brentano,-Clemens/tg574.txt	not defined	680	13205	11059	469	2251	194	372
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Rosenblättchen	Literatur-Brentano,-Clemens/tg568.txt	not defined	176	3954	3370	145	603	66	129
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Schnürlieschen	Literatur-Brentano,-Clemens/tg575.txt	not defined	255	4953	4192	203	746	65	132
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Rheinmärchen/Das Märchen vom Murmeltier	Literatur-Brentano,-Clemens/tg562.txt	not defined	763	13817	11443	458	2013	195	394
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Rheinmärchen/Das Märchen vom Schneider Siebentot auf einen Schlag	Literatur-Brentano,-Clemens/tg563.txt	not defined	583	11137	9554	357	1699	204	362
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Rheinmärchen/Das Märchen von dem Hause Starenberg und den Ahnen des Müllers Radlauf	Literatur-Brentano,-Clemens/tg561.txt	not defined	2251	44682	38201	1783	7345	590	1480
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Rheinmärchen/Das Märchen von dem Rhein und dem Müller Radlauf	Literatur-Brentano,-Clemens/tg560.txt	not defined	1714	34794	29683	1400	5482	501	1103
Brentano, Clemens	Romantik	Roman	Roman/Godwi oder Das steinerne Bild der Mutter	Literatur-Brentano,-Clemens/tg454.txt	Romantik_Kern	6696	156838	132065	6435	23216	1819	4724
Chamisso, Adelbert von	Romantik	Erzählung	Erzählungen/Adelberts Fabel	Literatur-Chamisso,-Adelbert-von/tg311.txt	not defined	107	2577	2185	124	399	36	110
Chamisso, Adelbert von	Romantik	Erzählung	Erzählungen/Peter Schlemihls wundersame Geschichte	Literatur-Chamisso,-Adelbert-von/tg312.txt	not defined	1212	25674	21290	1106	3562	364	843
Droste-Hülshoff, Annette von	Romantik	prose	Erzählungen/Bei uns zulande auf dem Lande	Literatur-Droste-Huelshoff,-Annette-von/tg262.txt	not defined	361	11949	10212	712	1926	124	393
Droste-Hülshoff, Annette von	Romantik	prose	Erzählungen/Die Judenbuche	Literatur-Droste-Huelshoff,-Annette-von/tg257.txt	not defined	1277	20118	16170	753	2982	267	599
Droste-Hülshoff, Annette von	Romantik	prose	Erzählungen/Ledwina	Literatur-Droste-Huelshoff,-Annette-von/tg256.txt	not defined	1057	22682	18424	1016	2838	260	586
Droste-Hülshoff, Annette von	Romantik	prose	Erzählungen/Westfälische Schilderungen	Literatur-Droste-Huelshoff,-Annette-von/tg258.txt	not defined	304	13461	11298	920	2571	143	447
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Agave	Literatur-Ebner-Eschenbach,-Marie-von/tg126.txt	not defined	3242	51682	42214	2086	7477	576	1663
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Das Schädliche	Literatur-Ebner-Eschenbach,-Marie-von/tg123.txt	not defined	1601	24304	19997	951	3328	275	735
