author	epoche	genre	title	textPath	label
Eichendorff, Joseph von	Romantik	Roman	Romane/Ahnung und Gegenwart	Literatur-Eichendorff,-Joseph-von/tg553.txt	Romantik_Kern
Fischer, Caroline Auguste	not defined	Roman	Der Günstling	droro_e2/Fischer_Caroline_Auguste_Der_Guenstling.txt	Romantik_E2
Fischer, Caroline Auguste	not defined	Roman	Die Honigmonathe	droro_e2/Fischer_Caroline_Auguste_Die_Honigmonathe.txt	Romantik_E2
Fischer, Caroline Auguste	not defined	Roman	Gustavs Verirrungen	droro_e2/Fischer_Caroline_Auguste_Gustavs_Verirrungen.txt	Romantik_E2
Fischer, Caroline Auguste	not defined	Roman	Margarethe	droro_e2/Fischer_Caroline_Auguste_Margarethe.txt	Romantik_E2
Fischer, Caroline Auguste	not defined	Roman	Vierzehn Tage in Paris	droro_e2/Fischer_Caroline_Auguste_Vierzehn_Tage_in_Paris.txt	Romantik_E2
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Ellernklipp	Literatur-Fontane,-Theodor/tg725.txt	not defined
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Grete Minde	Literatur-Fontane,-Theodor/tg704.txt	not defined
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Mathilde Möhring	Literatur-Fontane,-Theodor/tg787.txt	not defined
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Schach von Wuthenow	Literatur-Fontane,-Theodor/tg744.txt	not defined
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Unterm Birnbaum	Literatur-Fontane,-Theodor/tg766.txt	not defined
Fontane, Theodor	Realismus	prose	Romane/Cécile	Literatur-Fontane,-Theodor/tg430.txt	not defined
Fontane, Theodor	Realismus	prose	Romane/Der Stechlin	Literatur-Fontane,-Theodor/tg647.txt	not defined
Fontane, Theodor	Realismus	prose	Romane/Die Poggenpuhls	Literatur-Fontane,-Theodor/tg631.txt	not defined
Fontane, Theodor	Realismus	prose	Romane/Effi Briest	Literatur-Fontane,-Theodor/tg594.txt	not defined
Fontane, Theodor	Realismus	prose	Romane/Frau Jenny Treibel	Literatur-Fontane,-Theodor/tg577.txt	not defined
Fontane, Theodor	Realismus	prose	Romane/Graf Petöfy	Literatur-Fontane,-Theodor/tg394.txt	not defined
Fontane, Theodor	Realismus	prose	Romane/Irrungen, Wirrungen	Literatur-Fontane,-Theodor/tg460.txt	not defined
Fontane, Theodor	Realismus	prose	Romane/L'Adultera	Literatur-Fontane,-Theodor/tg371.txt	not defined
Fontane, Theodor	Realismus	prose	Romane/Quitt	Literatur-Fontane,-Theodor/tg504.txt	not defined
Fontane, Theodor	Realismus	prose	Romane/Stine	Literatur-Fontane,-Theodor/tg487.txt	not defined
Fontane, Theodor	Realismus	prose	Romane/Unwiederbringlich	Literatur-Fontane,-Theodor/tg542.txt	not defined
Fontane, Theodor	Realismus	prose	Romane/Vor dem Sturm	Literatur-Fontane,-Theodor/tg284.txt	not defined
Fouqué, Caroline de la Motte	not defined	Roman	Der Spanier und der Freiwillige in Paris	droro_e1/Fouque_Caroline_de_la_Motte_Der_Spanier.txt	Romantik_E1
Fouqué, Caroline de la Motte	not defined	Roman	Die Frau des Falkensteins	droro_e1/Fouque_Caroline_de_la_Motte_Die_Frau_des_Falkensteins.txt	Romantik_E1
Fouqué, Caroline de la Motte	not defined	Roman	Magie der Natur	droro_kern/Fouque_Caroline_de_la_Motte_Magie_der_Natur.txt	Romantik_Kern
Fouqué, Caroline de la Motte	not defined	Roman	Resignation	droro_e1/Fouque_Caroline_de_la_Motte_Resignation.txt	Romantik_E1
Fouqué, Caroline de la Motte	not defined	Roman	Rodrich	droro_e1/Fouque_Caroline_de_la_Motte_Rodrich.txt	Romantik_E1
Fouqué, Friedrich de la Motte	Romantik	Erzählung	Erzählungen/Eine Geschichte vom Galgenmännlein	Literatur-Fouque,-Friedrich-de-la-Motte/tg38.txt	not defined
Fouqué, Friedrich de la Motte	Romantik	Erzählung	Erzählungen/Undine	Literatur-Fouque,-Friedrich-de-la-Motte/tg39.txt	not defined
Fouqué, Friedrich de la Motte (Pellegrin)	not defined	Roman	Alwin	droro_e1/Fouque_Friedrich_de_la_Motte_Alwin.txt	Romantik_E1
Fouqué, Friedrich de la Motte (Pellegrin)	not defined	Roman	Der Zauberring	droro_e1/Fouque_Friedrich_de_la_Motte_Der_Zauberring.txt	Romantik_E1
Fouqué, Friedrich de la Motte (Pellegrin)	not defined	Roman	Die Fahrten Thiodolfs des Isländers I	droro_e1/Fouque_Friedrich_de_la_Motte_Fahrten_Thiodolfs_Band_I.txt	Romantik_E1
Fouqué, Friedrich de la Motte (Pellegrin)	not defined	Roman	Die Fahrten Thiodolfs des Isländers II	droro_e1/Fouque_Friedrich_de_la_Motte_Fahrten_Thiodolfs_Band_II.txt	Romantik_E1
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/»Baron Schmule«	Literatur-Franzos,-Karl-Emil/tg53.txt	not defined
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Das »Kind der Sühne«	Literatur-Franzos,-Karl-Emil/tg51.txt	not defined
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Das Christusbild	Literatur-Franzos,-Karl-Emil/tg54.txt	not defined
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Der Shylock von Barnow	Literatur-Franzos,-Karl-Emil/tg47.txt	not defined
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Der wilde Starost und die schöne Jütta	Literatur-Franzos,-Karl-Emil/tg50.txt	not defined
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Esterka Regina	Literatur-Franzos,-Karl-Emil/tg52.txt	not defined
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Nach dem höheren Gesetz	Literatur-Franzos,-Karl-Emil/tg48.txt	not defined
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Ohne Inschrift	Literatur-Franzos,-Karl-Emil/tg55.txt	not defined
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Zwei Retter	Literatur-Franzos,-Karl-Emil/tg49.txt	not defined
